,price,city,kms_driven,owner,age,power,brand
16462,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16463,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16464,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16465,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16466,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16467,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16468,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16469,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16470,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16471,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16472,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16473,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16474,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16475,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16476,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16477,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16478,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16479,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16480,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16481,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16482,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16483,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16484,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16485,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16486,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16487,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16488,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16489,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16490,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16491,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16492,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16493,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16494,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16495,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16496,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16497,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16498,45000.0,Chennai,18742,First Owner,6,150.0,Yamaha
16499,43000.0,Bangalore,42837,First Owner,8,150.0,Honda
16500,55000.0,Rupnagar,27000,First Owner,9,150.0,Yamaha
16501,11900.0,Noida,34968,First Owner,14,150.0,Hero
16502,105000.0,Delhi,20000,First Owner,4,350.0,Royal Enfield
16503,18000.0,Hyderabad,3869,First Owner,16,100.0,Hero
16504,48000.0,Allahabad,41939,First Owner,8,200.0,Bajaj
16505,50000.0,Bangalore,29134,First Owner,7,220.0,Bajaj
16506,25000.0,Delhi,48587,First Owner,8,150.0,Hero
16507,70000.0,Mumbai,8000,First Owner,5,220.0,Bajaj
16508,87000.0,Pune,140,First Owner,3,160.0,Honda
16509,10000.0,Ghaziabad,64955,First Owner,15,150.0,Bajaj
16510,25000.0,Delhi,65000,First Owner,12,150.0,Yamaha
16511,18000.0,Chennai,22824,First Owner,8,100.0,Hero
16512,14227.0,Bhopal,36000,First Owner,15,150.0,Bajaj
16513,35000.0,Bangalore,60000,First Owner,9,220.0,Bajaj
16514,450000.0,Jodhpur,3430,First Owner,4,750.0,Harley-Davidson
16515,139000.0,Hyderabad,21300,First Owner,4,400.0,Bajaj
16516,80000.0,Hyderabad,7127,First Owner,5,220.0,Bajaj
16517,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16518,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16519,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16520,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16521,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16522,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16523,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16524,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16525,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16526,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16527,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16528,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16529,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16530,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16531,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16532,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16533,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16534,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16535,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16536,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16537,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16538,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16539,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16540,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16541,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16542,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16543,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16544,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16545,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16546,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16547,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16548,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16549,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16550,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16551,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16552,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16553,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16554,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16555,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16556,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16557,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16558,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16559,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16560,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16561,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16562,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16563,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
16564,123000.0,Kadapa,14500,First Owner,4,250.0,Yamaha
16565,95500.0,Delhi,18000,First Owner,8,350.0,Royal Enfield
16566,32000.0,Delhi,12000,First Owner,6,100.0,Hero
16567,41000.0,Delhi,20245,Second Owner,11,220.0,Bajaj
16568,15000.0,Perumbavoor,35000,Second Owner,19,100.0,Hero
16569,39000.0,Delhi,22000,First Owner,4,100.0,Hero
16570,30000.0,Karnal,6639,First Owner,9,180.0,TVS
16571,60000.0,Delhi,20373,First Owner,6,220.0,Bajaj
16572,15600.0,Jaipur,84186,First Owner,16,125.0,Hero
16573,22000.0,Pune,60857,First Owner,13,150.0,Bajaj
16574,45000.0,Chennai,18742,First Owner,6,150.0,Yamaha
16575,43000.0,Bangalore,42837,First Owner,8,150.0,Honda
16576,55000.0,Rupnagar,27000,First Owner,9,150.0,Yamaha
16577,11900.0,Noida,34968,First Owner,14,150.0,Hero
16578,105000.0,Delhi,20000,First Owner,4,350.0,Royal Enfield
16579,18000.0,Hyderabad,3869,First Owner,16,100.0,Hero
16580,48000.0,Allahabad,41939,First Owner,8,200.0,Bajaj
16581,50000.0,Bangalore,29134,First Owner,7,220.0,Bajaj
16582,25000.0,Delhi,48587,First Owner,8,150.0,Hero
16583,70000.0,Mumbai,8000,First Owner,5,220.0,Bajaj
16584,87000.0,Pune,140,First Owner,3,160.0,Honda
16585,10000.0,Ghaziabad,64955,First Owner,15,150.0,Bajaj
16586,25000.0,Delhi,65000,First Owner,12,150.0,Yamaha
16587,18000.0,Chennai,22824,First Owner,8,100.0,Hero
16588,14227.0,Bhopal,36000,First Owner,15,150.0,Bajaj
16589,35000.0,Bangalore,60000,First Owner,9,220.0,Bajaj
16590,450000.0,Jodhpur,3430,First Owner,4,750.0,Harley-Davidson
16591,139000.0,Hyderabad,21300,First Owner,4,400.0,Bajaj
16592,80000.0,Hyderabad,7127,First Owner,5,220.0,Bajaj
16593,23000.0,Lucknow,20000,First Owner,6,100.0,Bajaj
16594,32000.0,Lucknow,22697,First Owner,7,125.0,Suzuki
16595,20000.0,Kanchipuram,52000,First Owner,10,150.0,Yamaha
16596,55005.0,Godhara,6600,First Owner,5,220.0,Bajaj
16597,87000.0,Gautam Buddha Nagar,16336,First Owner,7,350.0,Royal Enfield
16598,70000.0,Mumbai,13858,Second Owner,11,350.0,Royal Enfield
16599,35000.0,Ahmedabad,11885,First Owner,12,125.0,Suzuki
16600,196700.0,Mumbai,13216,First Owner,4,390.0,KTM
16601,25000.0,Delhi,32588,First Owner,9,150.0,Bajaj
